GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 19.04 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,Gestrige Quellen,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,IFSG Spalte,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),"Quarantäne 
verifiziert",Todesfälle (COVID-19),Tests,Negativ Tests,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,Geschätzt,Geschätzt.1,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Geschätzt.2
Dithmarschen,Kreis,1051,54.0,0%,54,,https://www.dithmarschen.de/Neues-erfahren/Coronavirus,https://www.dithmarschen.de/Neues-erfahren/Coronavirus,24/04/2020 00:00, 54,44.0, 201,4.0,,3.0,24.04.2020,https://www.dithmarschen.de/Neues-erfahren/Coronavirus,@bandur,0,C54 G44 D3 21:48,Stain Fels,Maria,1,,44.0,54,3.0,332.0,,,,,,,https://www.facebook.com/KreisDithmarschenOfficial/,1.0,49,43.0,3.0,23/04/2020 18:32,1,0.0,https://www.dithmarschen.de/Neues-erfahren/Coronavirus
Flensburg,Kreisfreie Stadt,1001,32.0,0%,32,,"https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1",https://www.facebook.com/simonelange.flensburg,24/04/2020 00:00, 32,28.0, 59,,,2.0,24.04.2020,https://www.facebook.com/simonelange.flensburg,@bandur,0,C32 G28 Q59 D2 21:49,Stain Fels,Maria,1,,28.0,32,2.0,84.0,,,,,,https://twitter.com/stadt_flensburg,https://www.facebook.com/simonelange.flensburg,1.0,30,28.0,2.0,23.04.2020,1,0.0,https://www.facebook.com/simonelange.flensburg
Herzogtum Lauenburg,Kreis,1053,249.0,2%,253,,https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1,https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1,24/04/2020 00:00, 253,183.0, 400,,,8.0,24/04/2020,https://herzogtum-direkt.de/index.php/2020/04/24/gemeldete-covid19-faelle-stand-24-april/,@Colonia Claudia, 4,C253 G183 D8 13:53,Stain Fels,@jonasfbb,1,,183.0,237,8.0,1200.0,,,,,,,https://www.facebook.com/tourismus.herzogtum.lauenburg,4.0,178,183.0,6.0,23/04/2020 18:35,1,1.0,https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1
Kiel,Kreisfreie Stadt,1002,245.0,0%,246,246.0,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,24/04/2020 11:00, 246,153.0, 406,21.0,,7.0,24/04/2020 11:00,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,@Elvte_76, 1,246 C 153 G 7 D Checked 12:41,@jonasfbb,@plateauton,1,,153.0,240,7.0,373.0,,,,,,https://twitter.com/KielSailingCity,https://www.facebook.com/Kiel.Landeshauptstadt/,2.0,170,150.0,7.0,23.04.2020,1,1.0,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php
Lübeck,Kreisfreie Stadt,1003,158.0,0%,158,,https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/coronavirus.html,https://www.luebeck.de/files/Corona/covid19-statistik/Lagebericht_COVID_19_Statistik_HL_Presse_20200422.pdf,24/04/2020 00:00, 158,136.0,,,,1.0,24/04/2020,https://www.luebeck.de/files/Corona/covid19-statistik/Lagebericht_COVID_19_Statistik_HL_Presse_20200424.pdf,Stain fels,0,C158 G136 D1 18:51,@LSDR,Maria,1,,136.0,157,1.0,,,,,,,,https://www.facebook.com/Luebeck.Travemuende/,1.0,125,133.0,1.0,23.04.2020 18:37,1,1.0,https://www.luebeck.de/files/Corona/covid19-statistik/Lagebericht_COVID_19_Statistik_HL_Presse_20200422.pdf
Neumünster,Kreisfreie Stadt,1004,62.0,0%,62,,https://www.neumuenster.de/aktuelle-meldungen/meldung/informationen-zum-coronavirus/,https://www.neumuenster.de/,23/04/2020 14:09, 62,35.0, 114,2.0,,1.0,24/04/2020,https://www.shz.de/lokales/holsteinischer-courier/erneut-keine-weiteren-faelle-von-corona-in-neumuenster-id28128712.html,@Colonia Claudia,0,C62 D1 laut https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_1/ - Artikel von shz kann man ohne Abo nicht angucken,Maria,,0,,26.0,60,1.0,83.0,,,,,,https://twitter.com/neumuenster,https://www.facebook.com/coronaneumuensteroffiziell/,,36,26.0,1.0,23/04/2020,1,1.0,https://www.neumuenster.de/
Nordfriesland,Kreis,1054,76.0,1%,77,,https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles/Coronavirus,https://www.nordfriesland.de/,24/04/2020 10:00, 77,56.0, 164,3.0,,1.0,24/04/2020 10:00,https://www.nordfriesland.de/PDF/20_04_24_Corona_Statistik.PDF?ObjSvrID=2271&ObjID=3770&ObjLa=1&Ext=PDF&WTR=1&_ts=1587735716,@Elvte_76, 1,C77 G56 Q164 D1 21:56,@LSDR,Maria,1,,56.0,71,1.0,172.0,,,,,,,https://www.facebook.com/NordfrieslandDE,1.0,53,54.0,1.0,23/04/2020,1,1.0,https://www.nordfriesland.de/
Ostholstein,Kreis,1055,59.0,0%,59,,"https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255","https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255",23/04/2020 18:41, 60,,,,,,24/04/2020,https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_1/,@Colonia Claudia, 1,C60 21:57,Maria,,0,,,59,,,,,,,,,,,52,,,23/04/2020,1,1.0,"https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255"
Pinneberg,Kreis,1056,520.0,0%,520,,https://www.kreis-pinneberg.de/Coronavirus.html,https://www.kreis-pinneberg.de/Coronavirus.html,23/04/2020 16:00, 526,285.0,,27.0,,20.0,24/04/2020,https://www.kreis-pinneberg.de/Coronavirus.html,Stain fels, 6,C526 G285 D20 21:59,Maria,,0,,279.0,502,20.0,,,,,,,,https://www.facebook.com/Kreis-Pinneberg-100426738258066/,4.0,423,279.0,20.0,23/04/2020 16:00,1,1.0,https://www.kreis-pinneberg.de/Coronavirus.html
Plön,Kreis,1057,110.0,0%,110,,https://www.kreis-ploen.de/B%C3%BCrgerservice/Informationen-zum-Corona-Virus/Hinweise-f%C3%BCr-die-Medien,https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_1/,23/04/2020 18:47, 112,13.0,,10.0,,4.0,24/04/2020,https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_1/,Stain fels, 2,C112 D4 22:00,Maria,,0,,13.0,105,4.0,,,,,,,,,2.0,89,13.0,4.0,23/04/2020 18:47,1,1.0,https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_1/
Rendsburg-Eckernförde,Kreis,1058,226.0,1%,228,,https://covid19dashboardrdeck.aco/,https://covid19dashboardrdeck.aco/,24/04/2020 12:00, 228,164.0,,17.0,,14.0,24/04/2020 12:00,https://covid19dashboardrdeck.aco/,@bandur, 2,C227 G162 D14 13:54,Stain Fels,@jonasfbb,1,,164.0,224,14.0,,,,,,,,,6.0,177,157.0,14.0,23/04/2020,1,1.0,https://covid19dashboardrdeck.aco/
Schleswig-Flensburg,Kreis,1059,121.0,0%,121,,https://www.schleswig-flensburg.de/B%C3%BCrgerservice,https://www.facebook.com/SchleswigFlensburg/photos/a.120091439422728/222891065809431/?type=3&theater,24/04/2020 16:00, 121,83.0, 300,,,3.0,24/04/2020 16:00,https://www.facebook.com/SchleswigFlensburg/photos/a.120091439422728/224476245650913/?type=3&theater,@Elvte_76,0,C121 G83 D3 22:01,@LSDR,Maria,1,,83.0,121,3.0,800.0,,,,,,,https://www.facebook.com/SchleswigFlensburg/,1.0,101,78.0,3.0,23/04/2020 16:00,1,0.0,https://www.facebook.com/SchleswigFlensburg/photos/a.120091439422728/222891065809431/?type=3&theater
Segeberg,Kreis,1060,207.0,0%,207,,https://www.segeberg.de/coronavirus,https://www.segeberg.de/coronavirus,23/04/2020 18:50, 212,175.0,,,,3.0,24.04.2020,https://www.segeberg.de/coronavirus,@Elvte_76, 5,C212 G175 D3 22:02,Maria,,0,,169.0,208,3.0,,,,,,,,,,169,169.0,3.0,23/04/2020,1,1.0,https://www.segeberg.de/coronavirus
Steinburg,Kreis,1061,83.0,0%,83,,https://www.steinburg.de/startseite/presse-aktuelles/pressemitteilungen.html,https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_1/,23/04/2020 18:52, 83,51.0, 275,6.0,,3.0,24/04/2020,https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_1/,Stain Fels,0,C83 D3 22:05,Maria,,0,,51.0,79,3.0,321.0,,,,,,,https://www.facebook.com/kreisverwaltungsteinburg/,1.0,66,51.0,3.0,23/04/2020,1,1.0,https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_1/
Stormarn,Kreis,1062,376.0,2%,383,383.0,https://www.kreis-stormarn.de/kreis/fachbereiche/soziales-und-gesundheit/gesundheit/coronavirus.html,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-bestaetigten-corona-faelle-in-stormarn.html,24/04/2020 15:00, 383,140.0, 200,23.0,,20.0,24/04/2020 15:00,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-bestaetigten-corona-faelle-in-stormarn.html,Stain Fels, 7,C383 G140 Q200 S23 D20 22:06,@jonasfbb,Maria,1,,140.0,366,20.0,128.0,,,,,,,https://www.facebook.com/KreisStormarn/,2.0,215,135.0,19.0,23/04/2020 15:00,1,1.0,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-bestaetigten-corona-faelle-in-stormarn.html
Hamburg,Kreisfreie Stadt,2000,4.511,1%,4558,4558.0,https://www.hamburg.de/coronavirus/pressemeldungen/,https://www.hamburg.de/coronavirus/pressemeldungen/13871686/2020-04-22-coronavius-aktueller-stand/,24/04/2020 00:00,4 558,3000.0,,197.0,62.0,122.0,24/04/2020,https://www.hamburg.de/bgv/pressemeldungen/13876094/2020-04-24-coronavius-aktueller-stand/,@Colonia Claudia, 47,4558 C 3000 G 122 D Checked 18:31,@jonasfbb,Stain Fels,1,,3000.0,4449,122.0,,116,,,,,,https://www.facebook.com/Hamburg/,25.0,3370,2900.0,113.0,23/04/2020,2,1.0,https://www.hamburg.de/coronavirus/pressemeldungen/13871686/2020-04-22-coronavius-aktueller-stand/
Ammerland,Landkreis,3451,168.0,0%,168,,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus/,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus-INFOPORTAL,24/04/2020 00:00, 168,124.0, 64,,,4.0,24/04/2020,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus-INFOPORTAL,@distanzreiter,0,C168 G124 Q64 D4 17:33,Stain Fels,Johannes,1,,124.0,168,4.0,205.0,,,,,,,,2.0,132,119.0,4.0,23/04/2020 16:00,3,0.0,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus-INFOPORTAL
Aurich,Landkreis,3452,90.0,2%,92,,https://www.landkreis-aurich.de/soziales-gesundheit/gesundheit/aktuelle-informationen-zum-thema-corona.html,https://www.landkreis-aurich.de/soziales-gesundheit/gesundheit/aktuelle-informationen-zum-thema-corona.html,24/04/2020 10:30, 92,70.0, 77,,,5.0,24/04/2020 10:30,https://www.landkreis-aurich.de/soziales-gesundheit/gesundheit/aktuelle-informationen-zum-thema-corona.html,@distanzreiter, 2,C92 G70 Q77 D5 17:18,Stain Fels,Johannes,1,,70.0,89,5.0,81.0,,,,,,,https://www.facebook.com/LandkreisAurich/,3.0,78,70.0,5.0,23.04.2020,3,1.0,https://www.landkreis-aurich.de/soziales-gesundheit/gesundheit/aktuelle-informationen-zum-thema-corona.html
Braunschweig,Kreisfreie Stadt,3101,294.0,0%,294,,https://www.braunschweig.de/aktuell/aktuelle-informationen.php#Aktuelle_Zahlen,https://www.braunschweig.de/aktuell/aktuelle-informationen.php#Aktuelle_Zahlen,24/04/2020 00:00, 294,214.0,,16.0,,10.0,24.04.2020,https://www.braunschweig.de/aktuell/fragen-antworten-faq.php#Fragen_zum_Corona-Virus,@Elvte_76,0,C294 G214 S16 D10 17.35,@jonasfbb,Johannes,1,,214.0,292,10.0,,,,,,,,https://www.facebook.com/stadtbraunschweig/,5.0,241,214.0,10.0,23.04.2020,3,1.0,https://www.braunschweig.de/aktuell/aktuelle-informationen.php#Aktuelle_Zahlen
