GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 25.06 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,GESAMT Bestätigte ZAHL der Infektionsfälle (Crowdsourced) inc. Epidemiological,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1) Berechtigte,7-Tage Infektionen pro 100.000 Einwohner,Zwischenstand Geprüft,An COVID-19 gestorben,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),RKI Fälle,RKI Genesen,Tests,Cases inc. Epidemiological,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,RKI CHeck,Geschätzt,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Names,Tag vorher,Tag (noch nicht geupdated),Unnamed: 46
Dithmarschen,Kreis,1051,71,1%,72,,https://www.dithmarschen.de/Neues-erfahren/Coronavirus, 72,24/06/2020 00:00, 72,58.0,,,,4.0,24/06/2020,https://www.dithmarschen.de/Neues-erfahren/Coronavirus,elvte76, 1,C72 G58 D4 21:06,Maria,"6,0",1,,58.0,71,4.0,70,57,,,,,,https://www.facebook.com/KreisDithmarschenOfficial/,"0,9892787524",58.0,58.0,4.0,23.06.2020,1,1,https://www.dithmarschen.de/Neues-erfahren/Coronavirus,64,64,0
Flensburg,Kreisfreie Stadt,1001,46,0%,46,,"https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1", 46,24/06/2020 00:00, 46,39.0, 15,,,3.0,24/06/2020,"https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1",elvte76,0,C46 G39 Q15 D3 21:07,Maria,"2,2",1,,39.0,46,3.0,46,41,,,,,https://twitter.com/stadt_flensburg,https://www.facebook.com/simonelange.flensburg,"0,9512195122",39.0,39.0,3.0,23/06/2020,1,0,"https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1",44,44,0
Herzogtum Lauenburg,Kreis,1053,267,0%,267,,https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1, 267,23/06/2020 00:00, 267,248.0,,,,17.0,23/06/2020,https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1,nn,0,keine neue Meldung,Maria,"0,5",1,,248.0,267,17.0,266,249,,,,,,https://www.facebook.com/tourismus.herzogtum.lauenburg,"0,9922536588",248.0,248.0,17.0,22.06.2020,1,0,https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1,266,266,0
Kiel,Kreisfreie Stadt,1002,281,0%,281,,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php, 281,23/06/2020 00:00, 281,270.0, 40,,,10.0,23/06/2020 00:00,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,nn,0,keine Meldung,MKay,"0,0",1,9.0,270.0,281,10.0,281,271,,,,,https://twitter.com/KielSailingCity,https://www.facebook.com/Kiel.Landeshauptstadt/,"0,9963099631",270.0,270.0,10.0,23.06.2020,1,0,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,281,281,0
Lübeck,Kreisfreie Stadt,1003,169,0%,169,,https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/coronavirus.html, 169,24/06/2020 00:00, 169,165.0,,,,1.0,24/06/2020,https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/covid19-statistik.html,MKay,0,unverändert,Maria,"1,4",1,,165.0,166,1.0,168,165,,,,,,https://www.facebook.com/Luebeck.Travemuende/,"0,9940828402",165.0,165.0,1.0,23.06.2020,1,1,https://www.luebeck.de/files/Corona/covid19-statistik/Lagebericht_COVID_19_Statistik_HL_Presse_20200616.pdf,166,166,0
Neumünster,Kreisfreie Stadt,1004,79,0%,79,,https://www.neumuenster.de/aktuelle-meldungen/, 79,24/06/2020 13:06, 79,77.0, 44,,,2.0,24/06/2020 13:06,https://www.neumuenster.de/aktuelle-meldungen/meldung/keine-neuen-coronavirus-faelle/,MKay,0,C79 G77 Q44 D2 21:28,Maria,"0,0",1,,77.0,79,2.0,78,76,,,,,https://twitter.com/neumuenster,https://www.facebook.com/coronaneumuensteroffiziell/,"1,000333111",77.0,77.0,2.0,22/06/2020,1,0,https://www.neumuenster.de/aktuelle-meldungen/meldung/keine-neuen-coronavirus-faelle/,79,79,0
Nordfriesland,Kreis,1054,90,0%,90,,https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles/Coronavirus, 90,24/06/2020 10:00, 90,89.0, 7,,,1.0,24.06.2020 10:00,https://www.nordfriesland.de/PDF/20_06_24_Corona_Statistik.PDF?ObjSvrID=2271&ObjID=3770&ObjLa=1&Ext=PDF&WTR=1&_ts=1592905394,MKay,0,C90 G89 Q7 D1 21:29,Maria,"0,6",1,,89.0,90,1.0,90,88,,,,,,https://www.facebook.com/NordfrieslandDE,"1,011363636",89.0,88.0,1.0,23/06/2020,1,0,https://www.nordfriesland.de/PDF/20_06_15_Corona_Statistik.PDF?ObjSvrID=2271&ObjID=3770&ObjLa=1&Ext=PDF&WTR=1&_ts=1592229595,89,89,0
Ostholstein,Kreis,1055,68,0%,68,,"https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255", 68,24/06/2020 18:33, 68,68.0,,,,,24/06/2020 18:33,https://www.schleswig-holstein.de/DE/Schwerpunkte/Coronavirus/Zahlen/zahlen_node.html,MKay,0,unverändert,Maria,"0,0",1,,68.0,68,,68,68,,,,,,,1,68.0,68.0,,23/06/2020,1,0,https://www.schleswig-holstein.de/DE/Schwerpunkte/Coronavirus/Zahlen/zahlen_node.html;jsessionid=EF640C12CF5193E85E28766075493DA0.delivery2-replication,68,68,0
Pinneberg,Kreis,1056,602,0%,602,,https://www.kreis-pinneberg.de/Coronavirus.html, 602,24/06/2020 16:00, 602,556.0,,,,46.0,24/06/2020 18:33,https://www.schleswig-holstein.de/DE/Schwerpunkte/Coronavirus/Zahlen/zahlen_node.html,MKay,0,unverändert,Maria,"0,0",1,,556.0,602,46.0,602,556,,,,,,https://www.facebook.com/Kreis-Pinneberg-100426738258066/,1,556.0,556.0,46.0,23.6.20,1,0,https://www.kreis-pinneberg.de/Coronavirus.html,602,602,0
Plön,Kreis,1057,120,0%,120,,https://www.kreis-ploen.de/B%C3%BCrgerservice/Informationen-zum-Corona-Virus/Hinweise-f%C3%BCr-die-Medien, 120,24/06/2020 18:33, 120,112.0,,,,8.0,24/06/2020 18:33,https://www.schleswig-holstein.de/DE/Schwerpunkte/Coronavirus/Zahlen/zahlen_node.html,MKay,0,unverändert,Maria,"0,0",1,,112.0,120,8.0,120,112,,,,,,,1,112.0,112.0,8.0,23.6.20,1,0,https://www.schleswig-holstein.de/DE/Schwerpunkte/Coronavirus/Zahlen/zahlen_node.html;jsessionid=EF640C12CF5193E85E28766075493DA0.delivery2-replication,120,120,0
Rendsburg-Eckernförde,Kreis,1058,255,0%,255,,https://covid19dashboardrdeck.aco/, 255,24/06/2020 21:00, 255,241.0,,,,14.0,24/06/2020 21:00,https://covid19dashboardrdeck.aco/,MKay,0,unverändert,Maria,"0,0",1,,241.0,255,14.0,255,241,,,,,,,1,241.0,241.0,14.0,2020-06-23,1,0,https://covid19dashboardrdeck.aco/,255,255,0
Schleswig-Flensburg,Kreis,1059,161,0%,161,,https://www.schleswig-flensburg.de/B%C3%BCrgerservice, 161,24/06/2020 16:00, 161,155.0, 131,,,4.0,24/06/2020 16:00,https://www.facebook.com/SchleswigFlensburg/photos/zur-aktuellen-lage-die-zahl-der-best%C3%A4tigten-f%C3%A4lle-im-kreisgebiet-bleibt-weiterhi/269553294476541/,Elvte76,0,C161 G155 Q131 D4 21:22,MKay,"0,0",1,,155.0,161,4.0,159,155,,,,,,https://www.facebook.com/SchleswigFlensburg/,"0,9875776398",155.0,155.0,4.0,2020-06-23,1,0,https://www.facebook.com/SchleswigFlensburg/?ref=br_tf&epa=SEARCH_BOX,161,161,0
Segeberg,Kreis,1060,332,0%,333,,https://www.segeberg.de/, 333,24/06/2020 13:30, 333,323.0, 19,,,7.0,24/06/2020 13:30,https://www.segeberg.de/F%C3%BCr-Segeberger/Coronavirus/Aktuelle-Informationen-und-Mitteilungen,MKay, 1,C333 G323 Q19 D7 21:32,Maria,"0,7",1,,323.0,332,7.0,332,324,,,,,,,"0,9939198458",323.0,322.0,7.0,23/06/2020,1,1,https://www.segeberg.de/F%C3%BCr-Segeberger/Coronavirus/Aktuelle-Informationen-und-Mitteilungen,331,331,0
Steinburg,Kreis,1061,182,0%,182,,https://www.steinburg.de/startseite/presse-aktuelles/pressemitteilungen.html, 182,24/06/2020 18:33, 182,175.0, 141,,,3.0,24/06/2020 18:33,https://www.schleswig-holstein.de/DE/Schwerpunkte/Coronavirus/Zahlen/zahlen_node.html;jsessionid=EF640C12CF5193E85E28766075493DA0.delivery2-replication,MKay,0,unverändert,Maria,"0,8",1,,175.0,182,3.0,182,175,,,,,,https://www.facebook.com/kreisverwaltungsteinburg/,1,175.0,175.0,3.0,23/06/2020,1,0,https://www.schleswig-holstein.de/DE/Schwerpunkte/Coronavirus/Zahlen/zahlen_node.html;jsessionid=EF640C12CF5193E85E28766075493DA0.delivery2-replication,181,181,0
Stormarn,Kreis,1062,420,0%,420,,https://www.kreis-stormarn.de/kreis/fachbereiche/soziales-und-gesundheit/gesundheit/coronavirus.html, 420,24/06/2020 00:00, 420,377.0, 8,2.0,,33.0,24/06/2020,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-bestaetigten-corona-faelle-in-stormarn.html,elvte76,0,C420 G377 Q8 S2 D33 21:28,MKay,"0,0",1,,377.0,420,33.0,419,385,,,,,,https://www.facebook.com/KreisStormarn/,"0,9768893012",377.0,375.0,33.0,23/06/2020,1,0,https://www.kreis-stormarn.de/aktuelles/pressemeldungen/2020/zahl-der-bestaetigten-corona-faelle-in-stormarn.html,420,420,0
Hamburg,Kreisfreie Stadt,2000,5164,0%,5171,,https://www.hamburg.de/coronavirus/pressemeldungen/,5 171,24/06/2020 00:00,5171,4800.0,,23.0,10.0,259.0,24/06/2020,https://www.hamburg.de/corona-zahlen,@vitavonni,7,Korrektur -10 Altfälle + 7 neufälle. Gestern -10 anpassen?,James,"1,1",1,229.0,4800.0,5169,259.0,5170,4849,,,,,,https://www.facebook.com/Hamburg/,"0,9897033917",4800.0,4800.0,259.0,23/06/2020,2,1,https://www.hamburg.de/corona-zahlen,5148,5150,2
Ammerland,Landkreis,3451,199,0%,199,,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus/, 199,23/06/2020 16:00, 199,192.0, 8,,,5.0,24/06/2020 16:00,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus-INFOPORTAL/,Maria,0,C199 G192 Q8 D5 19:45,,"0,8",0,,192.0,198,5.0,189,183,,,,,,,"0,9964576983",192.0,192.0,5.0,23/06/2020,3,1,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus-INFOPORTAL,198,198,0
Aurich,Landkreis,3452,135,0%,135,,https://npgeo-de.maps.arcgis.com/apps/opsdashboard/index.html#/91c7dabeca604d80baf30d60599e4e1a, 134,23/06/2020 00:00, 134,125.0,,,,8.0,24/06/2020,https://npgeo-de.maps.arcgis.com/apps/opsdashboard/index.html#/91c7dabeca604d80baf30d60599e4e1a,Maria,- 1,C134 G125 D8 19:47,,"1,1",0,,121.0,135,8.0,130,120,,,,,,https://www.facebook.com/LandkreisAurich/,"1,010572139",125.0,121.0,8.0,23/06/2020,3,1,https://npgeo-de.maps.arcgis.com/apps/opsdashboard/index.html#/91c7dabeca604d80baf30d60599e4e1a,133,133,0
Braunschweig,Kreisfreie Stadt,3101,334,0%,335,,https://www.braunschweig.de/aktuell/aktuelle-informationen.php#Aktuelle_Zahlen, 335,24/06/2020 00:00, 335,313.0,,3.0,,18.0,24/06/2020,https://www.braunschweig.de/aktuell/fragen-antworten-faq.php,@vitavonni, 1,C335 G313 S3 D18 19:47,Maria,"1,6",1,,313.0,333,18.0,333,312,,,,,,https://www.facebook.com/stadtbraunschweig/,"0,9972158439",313.0,313.0,18.0,23.06.2020,3,1,https://www.braunschweig.de/aktuell/aktuelle-informationen.php#Aktuelle_Zahlen,331,331,0
Celle,Landkreis,3351,220,0%,220,,https://www.landkreis-celle.de/, 220,23/06/2020 14:00, 220,204.0, 37,,,15.0,24.6.20,https://www.landkreis-celle.de/index.php?tx_ddpresseinfo_pi1%5Bart%5D=info&tx_ddpresseinfo_pi1%5Bid%5D=2280,Maria,0,unverändert,,"0,6",0,,194.0,220,15.0,220,201,,,,,,https://www.facebook.com/LandkreisCelle/,"1,014925373",204.0,194.0,15.0,23/06/2020,3,0,https://www.landkreis-celle.de/index.php?tx_ddpresseinfo_pi1%5Bart%5D=info&tx_ddpresseinfo_pi1%5Bid%5D=2271,219,220,1
Cloppenburg,Landkreis,3453,120,0%,120,,https://lkclp.de/gesundheit-soziales/gesundheit/aktuelles-zum-coronavirus--fragen-und-antworten.php?back=true, 123,23/06/2020 13:10, 123,117.0, 17,1.0,,,24.6.20,https://lkclp.de/aktuelles-presse/pressemitteilungen.php?aid=3572,Maria, 3,C123 19:50,,"0,0",0,,117.0,120,,116,116,726.0,,16.06.2020,Johannes,,https://www.facebook.com/stadtcloppenburg,"0,9512195122",117.0,117.0,,23.6.20,3,1,https://lkclp.de/aktuelles-presse/pressemitteilungen.php?aid=3555,120,120,0
Cuxhaven,Landkreis,3352,364,0%,364,,https://www.landkreis-cuxhaven.de/Corona, 366,23/06/2020 14:00, 366,314.0,,7.0,4.0,20.0,24.6.2020 14:00,"https://www.landkreis-cuxhaven.de/Corona/Aktuelle-Informationen-des-Landkreises-Cuxhaven-zum-Thema-Corona-Virus-.php?object=tx,2736.6&ModID=7&FID=3189.1146.1&NavID=3189.26&La=1",Maria, 2,C366 G314 S7 I4 D20 19:51,,"4,5",0,,314.0,363,20.0,360,307,,,,,,,"1,006034068",314.0,314.0,20.0,23/06/2020,3,1,"https://www.landkreis-cuxhaven.de/Corona/Aktuelle-Informationen-des-Landkreises-Cuxhaven-zum-Thema-Corona-Virus-.php?object=tx,2736.6&ModID=7&FID=3189.1127.1&NavID=3189.26&La=1",355,358,3
Delmenhorst,Kreisfreie Stadt,3401,87,6%,92,,https://www.delmenhorst.de/aktuelles/coronavirus.php, 92,24/06/2020 13:00, 92,78.0, 51,4.0,,3.0,24.6.2020 13:00,https://www.delmenhorst.de/aktuelles/coronavirus.php,@vitavonni, 5,C92 G78 Q51 S4 D3 19:51,@helenawittlich,"7,7",1,,78.0,86,3.0,85,76,1180.0,1121.0,18.05.2020,@Thal,,,"0,9482265446",78.0,78.0,3.0,23.6.20,3,1,https://www.delmenhorst.de/aktuelles/coronavirus.php,84,86,2
Diepholz,Landkreis,3251,396,0%,396,,https://www.diepholz.de/portal/meldungen/uebersicht-0-21750.html?titel=Aktuelle+Meldungen, 396,23/06/2020 00:00, 396,358.0, 22,6.0,,26.0,23/06/2020,https://www.diepholz.de/portal/meldungen/eine-neuinfektion-im-landkreis-diepholz-900005297-21750.html?rubrik=900000022,nn,0,keine neue Meldung,,"1,4",0,,358.0,394,26.0,379,346,,,,,,,"0,9902639108",358.0,358.0,26.0,23.06.2020,3,1,https://www.diepholz.de/portal/meldungen/eine-neuinfektion-im-landkreis-diepholz-900005282-21750.html?rubrik=900000022,393,394,1
Emden,Kreisfreie Stadt,3402,19,0%,19,,https://www.emden.de/, 19,19/06/2020 00:00, 19,19.0, 3,,,,19/06/2020,https://www.emden.de/rathaus/verwaltung/stabsstellen/vorstandsbuero/pressestelle/pressemitteilungen/1906-nur-noch-drei-personen-in-haeuslicher-quarantaene-2,nn,0,keine neue Meldung,,"0,0",0,,19.0,19,,19,19,,,,,,,1,19.0,19.0,,19/06/2020,3,0,https://www.emden.de/,19,19,0
Emsland,Landkreis,3454,462,0%,462,,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html, 462,24/06/2020 00:00, 462,432.0, 80,,,25.0,24.06.2020,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,Johannes,0,C462 G432 Q80 D25 19:53,Maria,"0,6",1,,432.0,462,25.0,461,431,,,,,,https://www.facebook.com/landkreisemsland,"1,000150661",432.0,432.0,25.0,23.6.20,3,0,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,459,460,1
Friesland,Landkreis,3455,35,0%,35,,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006, 35,24/06/2020 00:00, 35,32.0, 37,,,2.0,24/06/2020,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,Johannes,0,C35 G32 Q37 D2 19:54,Maria,"1,0",1,,32.0,35,2.0,35,32,523.0,,19.06.2020,Maria,,https://www.facebook.com/LandkreisFRI/,1,32.0,32.0,2.0,23/06/2020,3,0,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,34,34,0
Gifhorn,Landkreis,3151,159,0%,159,,https://www.gifhorn.de/der-landkreis/presseportal/presseinformationen/, 159,23/06/2020 00:00, 159,148.0,,,,4.0,24/06/2020,https://www.gifhorn.de/start/nachricht-startseite/news/aktuelle-lage-zum-coronavirus-32/,Maria,0,C159 G148 D4 19:54,,"1,7",0,,139.0,159,4.0,159,148,1668.0,,24.06.2020,Maria,,https://www.facebook.com/LKGifhorn/,1,148.0,139.0,4.0,23/06/2020,3,0,https://www.gifhorn.de/start/nachricht-startseite/news/aktuelle-informationen-zum-coronavirus-29/,156,157,1
Goslar,Landkreis,3153,257,0%,257,,https://www.landkreis-goslar.de/startseite.phtml, 257,19/06/2020 00:00, 257,229.0, 47,,,25.0,19/06/2020,"https://www.landkreis-goslar.de/index.phtml?object=tx,1749.10.1&ModID=7&FID=94.13747.1&sNavID=94.34&mNavID=94.34&La=1",nn,0,keine neue Meldung 19:55,,"2,2",0,,229.0,257,25.0,261,233,,,,,,https://www.facebook.com/thomasbrych.de,"0,9981296238",229.0,229.0,25.0,19/06/2020,3,0,https://www.landkreis-goslar.de/showobject.phtml?La=1&object=tx|94.13740.1,254,255,1
Göttingen,Landkreis,3159,1258,0%,1260,,https://www.goettingen.de/aktuelles/coronavirus-das-gesundheitsamt-informiert-2020-02-17.html,1 260,24/06/2020 00:00,1 260,921.0,,,,79.0,24/06/2020,https://www.goettingen.de/aktuelles/corona-pandemie-260-menschen-sind-aktuell-erkrankt-2020-06-24.html,bandur, 2,C1260 G921 D79 19:55,Johannes,"50,9",1,,921.0,1229,79.0,1197,926,,,,,,,"0,9448704104",921.0,911.0,79.0,23.6.20,3,1,https://www.landkreisgoettingen.de/index.php,1080,1093,13
Grafschaft Bentheim,Landkreis,3456,247,0%,247,,https://www.grafschaft-bentheim.de/staticsite/staticsite2.php?menuid=1873&topmenu=1873, 247,24/06/2020 12:13, 247,229.0, 4,0.0,,18.0,24.6.2020 12:13,https://www.grafschaft-bentheim.de/staticsite/staticsite2.php?menuid=1873&topmenu=1873,@vitavonni,0,C247 G229 Q4 D18 19:56,Johannes,"0,0",1,,229.0,247,18.0,249,231,,,,,,https://www.facebook.com/GrafschaftBentheim/,"0,999369052",229.0,229.0,18.0,23.6.20,3,0,https://www.grafschaft-bentheim.de/staticsite/staticsite2.php?menuid=1873&topmenu=1873,247,247,0
